"Datei","max. Faktor","Kurven","Dist.","min. Dist.","Faktor","Pfad"
"","","","","","",""
"./Beispiele/abbiegen0.txt","1.10","3","5.828","5.828","1.000","[(0, 0), (0, 1), (1, 1), (2, 2), (3, 3), (4, 3)]"
"./Beispiele/abbiegen0.txt","1.15","2","6.414","5.828","1.101","[(0, 0), (0, 1), (0, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
"./Beispiele/abbiegen0.txt","1.20","2","6.414","5.828","1.101","[(0, 0), (0, 1), (0, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
"./Beispiele/abbiegen0.txt","1.30","1","7.000","5.828","1.201","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]"
"","","","","","",""
"./Beispiele/abbiegen1.txt","1.10","6","17.301","17.122","1.010","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (10, 2), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 0)]"
"./Beispiele/abbiegen1.txt","1.15","5","19.122","17.122","1.117","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (11, 4), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"./Beispiele/abbiegen1.txt","1.20","5","19.122","17.122","1.117","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (11, 4), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"./Beispiele/abbiegen1.txt","1.30","5","19.122","17.122","1.117","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (11, 4), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"","","","","","",""
"./Beispiele/abbiegen2.txt","1.10","5","11.064","10.886","1.016","[(0, 0), (1, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 1), (9, 0)]"
"./Beispiele/abbiegen2.txt","1.15","5","11.064","10.886","1.016","[(0, 0), (1, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 1), (9, 0)]"
"./Beispiele/abbiegen2.txt","1.20","5","11.064","10.886","1.016","[(0, 0), (1, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 1), (9, 0)]"
"./Beispiele/abbiegen2.txt","1.30","4","13.064","10.886","1.200","[(0, 0), (1, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 3), (9, 2), (9, 1), (9, 0)]"
"","","","","","",""
"./Beispiele/abbiegen3.txt","1.10","4","17.886","17.122","1.045","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"./Beispiele/abbiegen3.txt","1.15","4","17.886","17.122","1.045","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"./Beispiele/abbiegen3.txt","1.20","4","17.886","17.122","1.045","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
"./Beispiele/abbiegen3.txt","1.30","4","17.886","17.122","1.045","[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (14, 1), (14, 0)]"
